EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 18-11-2023
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 46 STANAME: Station name
 48- 49 CN     : Country code (ISO3116 country codes)
 51- 59 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 61- 70 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 72- 75 HGTH   : Station elevation in meters

STAID,STANAME                                 ,CN,      LAT,       LON,HGHT
11021,CALDES DE MONTBUI                       ,ES,+41:36:46,+002:10:06, 176
11022,CASTELLBISBAL                           ,ES,+41:28:44,+001:58:32, 147
11023,CASTELL DARO                            ,ES,+41:48:31,+003:01:57,  14
11024,CASTELLNOU DE BAGES                     ,ES,+41:49:51,+001:50:49, 507
11025,CASTELLNOU DE SEANA                     ,ES,+41:39:24,+000:57:06, 264
11026,CERTASCAN                               ,ES,+42:41:01,+001:16:19,2400
11027,CERVERA                                 ,ES,+41:40:32,+001:17:46, 554
11028,CONSTANTI                               ,ES,+41:10:17,+001:10:04, 112
11029,CUNIT                                   ,ES,+41:12:07,+001:38:00,  17
11030,DAS-AERODROM                            ,ES,+42:23:10,+001:51:59,1097
11031,EL PERELLO                              ,ES,+40:52:22,+000:42:57, 179
11032,EL PONT DE SUERT                        ,ES,+42:23:53,+000:44:37, 823
11033,EL PORT DEL COMTE                       ,ES,+42:10:57,+001:31:27,2316
11034,EL PRAT DE LLOBREGAT                    ,ES,+41:20:25,+002:04:49,   8
11035,ELS HOSTALETS DE PIEROLA                ,ES,+41:31:52,+001:48:29, 316
11036,EL VENDRELL                             ,ES,+41:12:56,+001:31:16,  59
11037,ESPOT                                   ,ES,+42:32:03,+001:03:17,2519
11038,FALSET                                  ,ES,+41:09:13,+000:49:10, 359
11039,FONT-RUBI                               ,ES,+41:25:58,+001:37:26, 415
11040,GIRONA                                  ,ES,+41:58:56,+002:48:25,  72
11041,GUARDIOLA DE BERGUEDA                   ,ES,+42:14:03,+001:52:29, 788
11042,HORTA DE SANT JOAN                      ,ES,+40:57:05,+000:18:20, 515
11043,ILLA DE BUDA                            ,ES,+40:42:26,+000:50:04,   1
11044,LA BISBAL DEMPORDA                      ,ES,+41:58:39,+003:02:07,  29
11045,LAC REDON                               ,ES,+42:38:18,+000:46:44,2247
11046,LA PANADELLA                            ,ES,+41:36:09,+001:24:02, 785
11047,LA POBLA DE SEGUR - BOMBERS             ,ES,+42:14:22,+000:57:52, 513
11048,LA QUAR                                 ,ES,+42:04:49,+001:57:45, 873
11049,LA SEU DURGELL                          ,ES,+42:22:15,+001:25:58, 849
11050,LESPLUGA DE FRANCOLI                    ,ES,+41:23:33,+001:05:56, 446
11051,MALGRAT DE MAR                          ,ES,+41:38:49,+002:45:24,   2
11052,MALNIU                                  ,ES,+42:27:58,+001:46:42,2230
11053,MAS DE BARBERANS-ABOCADOR               ,ES,+40:43:06,+000:23:59, 240
11054,MOLLO-FABERT                            ,ES,+42:22:38,+002:24:52,1405
11055,MONTSEC                                 ,ES,+42:03:05,+000:43:46,1572
11056,MONTSERRAT-SANT DIMES                   ,ES,+41:35:43,+001:50:15, 916
11057,MUNTANYOLA                              ,ES,+41:52:41,+002:10:43, 816
11058,NURIA                                   ,ES,+42:22:54,+002:09:19,1971
11059,ODENA                                   ,ES,+41:35:11,+001:39:11, 333
11060,OLOT - PLA DE BAIX                      ,ES,+42:11:29,+002:28:57, 421
11061,ORGANYA                                 ,ES,+42:12:58,+001:19:53, 566
11062,ORIS                                    ,ES,+42:04:26,+002:12:31, 626
11063,PARETS DEL VALLES                       ,ES,+41:34:02,+002:13:34, 123
11064,PN DELS PORTS                           ,ES,+40:47:49,+000:19:05,1055
11065,PORTBOU                                 ,ES,+42:26:07,+003:09:58, 196
11066,PUIG SESOLLES                           ,ES,+41:46:25,+002:26:16,1668
11067,RAIMAT                                  ,ES,+41:41:00,+000:26:55, 286
11068,ROSES                                   ,ES,+42:16:14,+003:10:54,  24
11069,SABADELL-PARC AGRARI                    ,ES,+41:33:56,+002:04:10, 258
11070,SALORIA                                 ,ES,+42:31:10,+001:21:57,2451
11071,SANT CUGAT DEL VALLES-CAR               ,ES,+41:28:59,+002:04:46, 158
11072,SANT PAU DE SEGURIES                    ,ES,+42:15:30,+002:21:51, 852
11073,SANT PERE PESCADOR                      ,ES,+42:10:38,+003:05:48,   4
11074,SANT ROMA DABELLA                       ,ES,+42:08:21,+001:02:20, 690
11075,SANT SALVADOR DE GUARDIOLA              ,ES,+41:40:26,+001:46:04, 349
11076,SANTUARI DE QUERALT                     ,ES,+42:06:26,+001:49:36,1167
11077,SASSEUVA                                ,ES,+42:46:12,+000:43:55,2228
11078,SOLSONA                                 ,ES,+41:59:16,+001:30:42, 691
11079,TARRAGONA-COMPLEX EDUCATIU              ,ES,+41:06:14,+001:12:04,   5
11080,TARREGA                                 ,ES,+41:40:01,+001:09:55, 427
11081,TORREDEMBARRA                           ,ES,+41:08:48,+001:25:06,   2
11082,ULLDEMOLINS                             ,ES,+41:19:12,+000:53:08, 687
11083,VALLIRANA                               ,ES,+41:22:55,+001:56:08, 252
11084,VIELHA E MIJARAN                        ,ES,+42:41:55,+000:47:38,1002
11085,VILADRAU                                ,ES,+41:50:24,+002:25:07, 953
11086,VILANOVA DE MEIA                        ,ES,+41:59:44,+001:01:32, 594
11087,VILA-RODONA                             ,ES,+41:18:26,+001:21:45, 287
11088,VINEBRE                                 ,ES,+41:11:06,+000:35:37,  53
11346,PANTA DE DARNIUS - BOADELLA             ,ES,+42:20:32,+002:50:03, 158
11347,PUIGCERDA                               ,ES,+42:26:25,+001:56:05,1213
11348,TIVISSA                                 ,ES,+41:02:36,+000:44:25, 316
11382,OLOT                                    ,ES,+42:11:17,+002:28:49, 433
11383,LA POBLA DE SEGUR                       ,ES,+42:14:38,+000:58:05, 508
11385,LES BORGES BLANQUES                     ,ES,+41:30:38,+000:51:23, 283
11386,MASSOTERES                              ,ES,+41:47:36,+001:18:21, 513
16319,MONT-ROIG DEL CAMP                      ,ES,+41:01:08,+000:56:01,  42
16320,TIRVIA                                  ,ES,+42:31:04,+001:14:28, 954
16321,PUJALT                                  ,ES,+41:42:58,+001:25:22, 747
16617,LLEIDA - LA FEMOSA                      ,ES,+41:35:05,+000:19:15, 170
18004,RIUDECANYES                             ,ES,+41:07:22,+000:58:10, 170
22439,VIELHA-ELIPORT                          ,ES,+42:41:48,+000:48:07,1027
25164,PORT DE BARCELONA - ZAL PRAT            ,ES,+41:19:09,+002:08:13,   7
25165,PALAFRUGELL                             ,ES,+41:54:25,+003:09:37,  36
